# eastings, northings, cpd, cpd_error, temp_error
5.790275816240286222e+05 9.911912219450618140e+05 2.013687099999999919e+04 8.054748399999999492e+03 1.158955544660828991e+02
5.895137715564017417e+05 9.911534388684935402e+05 1.992958099999999831e+04 7.971832400000000234e+03 1.144375518386114265e+02
6.000000000000000000e+05 9.911408445320564788e+05 1.981399499999999898e+04 7.925597999999999956e+03 1.139912612452422707e+02
6.104862284435982583e+05 9.911534388684935402e+05 1.968952399999999761e+04 7.875809600000000501e+03 1.133794799803576581e+02
6.209724183759713778e+05 9.911912219450618140e+05 1.959892299999999886e+04 7.839569199999999910e+03 1.130014659158481152e+02
6.314585501588234911e+05 9.912541940995468758e+05 1.947921800000000076e+04 7.791687200000000303e+03 1.127043804167973775e+02
6.419445852742387215e+05 9.913423558042272925e+05 1.939278600000000006e+04 7.757114400000000387e+03 1.115983530002174859e+02
6.524304851978723891e+05 9.914557076658443548e+05 1.935601000000000204e+04 7.742404000000000451e+03 1.122678067598767342e+02
6.629162302710957592e+05 9.915942506976108998e+05 1.935747299999999814e+04 7.742989199999999983e+03 1.116295313043607962e+02
6.734017819494917057e+05 9.917579859110948164e+05 1.935916500000000087e+04 7.743666000000001077e+03 1.116996824088795393e+02
6.838871016757832840e+05 9.919469144521736307e+05 1.938933799999999974e+04 7.755735200000000077e+03 1.121286220867747119e+02
6.943721697506738128e+05 9.921610380090553081e+05 1.933438900000000285e+04 7.733755600000001323e+03 1.116447110663614666e+02
7.048569475834303303e+05 9.924003581320533995e+05 1.900766600000000108e+04 7.603066400000000613e+03 1.103593551750636408e+02
7.153413965640279930e+05 9.926648765055359108e+05 1.870060900000000038e+04 7.480243600000000697e+03 1.089578824806977480e+02
7.258254969321613899e+05 9.929545954919852084e+05 1.848108699999999953e+04 7.392434799999999996e+03 1.081821937699532299e+02
7.363092100309609668e+05 9.932695171796192881e+05 1.837313699999999881e+04 7.349254800000000614e+03 1.081445460226933477e+02
7.467924971778321778e+05 9.936096437903512269e+05 1.836922600000000239e+04 7.347690400000001318e+03 1.078637006412100874e+02
7.572753385311114835e+05 9.939749783599291695e+05 1.847942199999999866e+04 7.391768800000000738e+03 1.081181496867143039e+02
7.677576953479645308e+05 9.943655235133339884e+05 1.854155500000000029e+04 7.416622000000000298e+03 1.081940361175540772e+02
7.782395288533957209e+05 9.947812820087805158e+05 1.847027800000000207e+04 7.388111200000001190e+03 1.080798031225519935e+02
3.578574857340850867e+05 9.792681190699453000e+05 2.805016300000000047e+04 1.122006520000000091e+04 1.470019563074010591e+02
3.683801024799179286e+05 9.786997265679332195e+05 2.812926900000000023e+04 1.125170760000000155e+04 1.469523045669440364e+02
3.789034875104497187e+05 9.781566239488088759e+05 2.796107700000000114e+04 1.118443080000000191e+04 1.464064781383249283e+02
3.894275453022303991e+05 9.776388104403442703e+05 2.752699300000000221e+04 1.101079720000000088e+04 1.448774602784165495e+02
3.999521803627475165e+05 9.771462848598778946e+05 2.685786999999999898e+04 1.074314799999999923e+04 1.420101077186352256e+02
4.104774866905339877e+05 9.766790374318484683e+05 2.647142599999999948e+04 1.058857040000000234e+04 1.406779202007056426e+02
